City,Date,AQI,PM2.5,PM10,NO2,SO2,CO,O3
Delhi,2018-01-01,406,223.3,438.48,336.98,462.84,4.26,385.7
Delhi,2018-01-02,418,229.9,451.44,346.94,476.52,4.39,397.1
Delhi,2018-01-03,382,210.1,412.56,317.06,435.48,4.01,362.9
Delhi,2018-01-04,366,201.3,395.28,303.78,417.24,3.84,347.7
Delhi,2018-01-05,390,214.5,421.2,323.7,444.6,4.1,370.5
Delhi,2018-01-06,405,222.75,437.4,336.15,461.7,4.25,384.75
Delhi,2018-01-07,355,195.25,383.4,294.65,404.7,3.73,337.25
Delhi,2018-01-08,288,158.4,311.04,239.04,328.32,3.02,273.6
Delhi,2018-01-09,359,197.45,387.72,297.97,409.26,3.77,341.05
Delhi,2018-01-10,352,193.6,380.16,292.16,401.28,3.7,334.4
Delhi,2018-01-11,309,169.95,333.72,256.47,352.26,3.24,293.55
Delhi,2018-01-12,298,163.9,321.84,247.34,339.72,3.13,283.1
Delhi,2018-01-13,359,197.45,387.72,297.97,409.26,3.77,341.05
Delhi,2018-01-14,321,176.55,346.68,266.43,365.94,3.37,304.95
Delhi,2018-01-15,331,182.05,357.48,274.73,377.34,3.48,314.45
Delhi,2018-01-16,255,140.25,275.4,211.65,290.7,2.68,242.25
Delhi,2018-01-17,353,194.15,381.24,292.99,402.42,3.71,335.35
Delhi,2018-01-18,400,220.0,432.0,332.0,456.0,4.2,380.0
Delhi,2018-01-19,406,223.3,438.48,336.98,462.84,4.26,385.7
Delhi,2018-01-20,323,177.65,348.84,268.09,368.22,3.39,306.85
Delhi,2018-01-21,276,151.8,298.08,229.08,314.64,2.9,262.2
Delhi,2018-01-22,342,188.1,369.36,283.86,389.88,3.59,324.9
Delhi,2018-01-23,324,178.2,349.92,268.92,369.36,3.4,307.8
Delhi,2018-01-24,270,148.5,291.6,224.1,307.8,2.84,256.5
Delhi,2018-01-25,243,133.65,262.44,201.69,277.02,2.55,230.85
Delhi,2018-01-26,261,143.55,281.88,216.63,297.54,2.74,247.95
Delhi,2018-01-27,286,157.3,308.88,237.38,326.04,3.0,271.7
Delhi,2018-01-28,300,165.0,324.0,249.0,342.0,3.15,285.0
Delhi,2018-01-29,302,166.1,326.16,250.66,344.28,3.17,286.9
Delhi,2018-01-30,270,148.5,291.6,224.1,307.8,2.84,256.5
Delhi,2018-01-31,244,134.2,263.52,202.52,278.16,2.56,231.8
Delhi,2018-02-01,274,150.7,295.92,227.42,312.36,2.88,260.3
Delhi,2018-02-02,293,161.15,316.44,243.19,334.02,3.08,278.35
Delhi,2018-02-03,243,133.65,262.44,201.69,277.02,2.55,230.85
Delhi,2018-02-04,256,140.8,276.48,212.48,291.84,2.69,243.2
Delhi,2018-02-05,291,160.05,314.28,241.53,331.74,3.06,276.45
Delhi,2018-02-06,287,157.85,309.96,238.21,327.18,3.01,272.65
Delhi,2018-02-07,261,143.55,281.88,216.63,297.54,2.74,247.95
Delhi,2018-02-08,308,169.4,332.64,255.64,351.12,3.23,292.6
Delhi,2018-02-09,335,184.25,361.8,278.05,381.9,3.52,318.25
Delhi,2018-02-10,341,187.55,368.28,283.03,388.74,3.58,323.95
Delhi,2018-02-11,304,167.2,328.32,252.32,346.56,3.19,288.8
Delhi,2018-02-12,178,97.9,192.24,147.74,202.92,1.87,169.1
Delhi,2018-02-13,191,105.05,206.28,158.53,217.74,2.01,181.45
Delhi,2018-02-14,187,102.85,201.96,155.21,213.18,1.96,177.65
Delhi,2018-02-15,187,102.85,201.96,155.21,213.18,1.96,177.65
Delhi,2018-02-16,235,129.25,253.8,195.05,267.9,2.47,223.25
Delhi,2018-02-17,256,140.8,276.48,212.48,291.84,2.69,243.2
Delhi,2018-02-18,257,141.35,277.56,213.31,292.98,2.7,244.15
Delhi,2018-02-19,294,161.7,317.52,244.02,335.16,3.09,279.3
Delhi,2018-02-20,296,162.8,319.68,245.68,337.44,3.11,281.2
Delhi,2018-02-21,308,169.4,332.64,255.64,351.12,3.23,292.6
Delhi,2018-02-22,300,165.0,324.0,249.0,342.0,3.15,285.0
Delhi,2018-02-23,302,166.1,326.16,250.66,344.28,3.17,286.9
Delhi,2018-02-24,320,176.0,345.6,265.6,364.8,3.36,304.0
Delhi,2018-02-25,266,146.3,287.28,220.78,303.24,2.79,252.7
Delhi,2018-02-26,156,85.8,168.48,129.48,177.84,1.64,148.2
Delhi,2018-02-27,160,88.0,172.8,132.8,182.4,1.68,152.0
Delhi,2018-02-28,272,149.6,293.76,225.76,310.08,2.86,258.4
Delhi,2018-03-01,257,141.35,277.56,213.31,292.98,2.7,244.15
Delhi,2018-03-02,260,143.0,280.8,215.8,296.4,2.73,247.0
Delhi,2018-03-03,203,111.65,219.24,168.49,231.42,2.13,192.85
Delhi,2018-03-04,178,97.9,192.24,147.74,202.92,1.87,169.1
Delhi,2018-03-05,172,94.6,185.76,142.76,196.08,1.81,163.4
Delhi,2018-03-06,167,91.85,180.36,138.61,190.38,1.75,158.65
Delhi,2018-03-07,185,101.75,199.8,153.55,210.9,1.94,175.75
Delhi,2018-03-08,245,134.75,264.6,203.35,279.3,2.57,232.75
Delhi,2018-03-09,280,154.0,302.4,232.4,319.2,2.94,266.0
Delhi,2018-03-10,170,93.5,183.6,141.1,193.8,1.79,161.5
Delhi,2018-03-11,170,93.5,183.6,141.1,193.8,1.79,161.5
Delhi,2018-03-12,214,117.7,231.12,177.62,243.96,2.25,203.3
Delhi,2018-03-13,217,119.35,234.36,180.11,247.38,2.28,206.15
Delhi,2018-03-14,267,146.85,288.36,221.61,304.38,2.8,253.65
Delhi,2018-03-15,297,163.35,320.76,246.51,338.58,3.12,282.15
Delhi,2018-03-16,256,140.8,276.48,212.48,291.84,2.69,243.2
Delhi,2018-03-17,186,102.3,200.88,154.38,212.04,1.95,176.7
Delhi,2018-03-18,169,92.95,182.52,140.27,192.66,1.77,160.55
Delhi,2018-03-19,173,95.15,186.84,143.59,197.22,1.82,164.35
Delhi,2018-03-20,217,119.35,234.36,180.11,247.38,2.28,206.15
Delhi,2018-03-21,289,158.95,312.12,239.87,329.46,3.03,274.55
Delhi,2018-03-22,186,102.3,200.88,154.38,212.04,1.95,176.7
Delhi,2018-03-23,151,83.05,163.08,125.33,172.14,1.59,143.45
Delhi,2018-03-24,175,96.25,189.0,145.25,199.5,1.84,166.25
Delhi,2018-03-25,195,107.25,210.6,161.85,222.3,2.05,185.25
Delhi,2018-03-26,183,100.65,197.64,151.89,208.62,1.92,173.85
Delhi,2018-03-27,230,126.5,248.4,190.9,262.2,2.42,218.5
Delhi,2018-03-28,255,140.25,275.4,211.65,290.7,2.68,242.25
Delhi,2018-03-29,213,117.15,230.04,176.79,242.82,2.24,202.35
Delhi,2018-03-30,218,119.9,235.44,180.94,248.52,2.29,207.1
Delhi,2018-03-31,256,140.8,276.48,212.48,291.84,2.69,243.2
Delhi,2018-04-01,195,107.25,210.6,161.85,222.3,2.05,185.25
Delhi,2018-04-02,219,120.45,236.52,181.77,249.66,2.3,208.05
Delhi,2018-04-03,207,113.85,223.56,171.81,235.98,2.17,196.65
Delhi,2018-04-04,203,111.65,219.24,168.49,231.42,2.13,192.85
Delhi,2018-04-05,290,159.5,313.2,240.7,330.6,3.05,275.5
Delhi,2018-04-06,208,114.4,224.64,172.64,237.12,2.18,197.6
Delhi,2018-04-07,143,78.65,154.44,118.69,163.02,1.5,135.85
Delhi,2018-04-08,141,77.55,152.28,117.03,160.74,1.48,133.95
Delhi,2018-04-09,120,66.0,129.6,99.6,136.8,1.26,114.0
Delhi,2018-04-10,230,126.5,248.4,190.9,262.2,2.42,218.5
Delhi,2018-04-11,141,77.55,152.28,117.03,160.74,1.48,133.95
Delhi,2018-04-12,99,54.45,106.92,82.17,112.86,1.04,94.05
Delhi,2018-04-13,188,103.4,203.04,156.04,214.32,1.97,178.6
Delhi,2018-04-14,217,119.35,234.36,180.11,247.38,2.28,206.15
Delhi,2018-04-15,224,123.2,241.92,185.92,255.36,2.35,212.8
Delhi,2018-04-16,285,156.75,307.8,236.55,324.9,2.99,270.75
Delhi,2018-04-17,244,134.2,263.52,202.52,278.16,2.56,231.8
Delhi,2018-04-18,228,125.4,246.24,189.24,259.92,2.39,216.6
Delhi,2018-04-19,244,134.2,263.52,202.52,278.16,2.56,231.8
Delhi,2018-04-20,246,135.3,265.68,204.18,280.44,2.58,233.7
Delhi,2018-04-21,356,195.8,384.48,295.48,405.84,3.74,338.2
Delhi,2018-04-22,211,116.05,227.88,175.13,240.54,2.22,200.45
Delhi,2018-04-23,160,88.0,172.8,132.8,182.4,1.68,152.0
Delhi,2018-04-24,254,139.7,274.32,210.82,289.56,2.67,241.3
Delhi,2018-04-25,266,146.3,287.28,220.78,303.24,2.79,252.7
Delhi,2018-04-26,313,172.15,338.04,259.79,356.82,3.29,297.35
Delhi,2018-04-27,310,170.5,334.8,257.3,353.4,3.26,294.5
Delhi,2018-04-28,301,165.55,325.08,249.83,343.14,3.16,285.95
Delhi,2018-04-29,248,136.4,267.84,205.84,282.72,2.6,235.6
Delhi,2018-04-30,209,114.95,225.72,173.47,238.26,2.19,198.55
Delhi,2018-05-01,177,97.35,191.16,146.91,201.78,1.86,168.15
Delhi,2018-05-02,153,84.15,165.24,126.99,174.42,1.61,145.35
Delhi,2018-05-03,160,88.0,172.8,132.8,182.4,1.68,152.0
Delhi,2018-05-04,139,76.45,150.12,115.37,158.46,1.46,132.05
Delhi,2018-05-05,173,95.15,186.84,143.59,197.22,1.82,164.35
Delhi,2018-05-06,269,147.95,290.52,223.27,306.66,2.82,255.55
Delhi,2018-05-07,211,116.05,227.88,175.13,240.54,2.22,200.45
Delhi,2018-05-08,208,114.4,224.64,172.64,237.12,2.18,197.6
Delhi,2018-05-09,163,89.65,176.04,135.29,185.82,1.71,154.85
Delhi,2018-05-10,190,104.5,205.2,157.7,216.6,2.0,180.5
Delhi,2018-05-11,256,140.8,276.48,212.48,291.84,2.69,243.2
Delhi,2018-05-12,304,167.2,328.32,252.32,346.56,3.19,288.8
Delhi,2018-05-13,215,118.25,232.2,178.45,245.1,2.26,204.25
Delhi,2018-05-14,130,71.5,140.4,107.9,148.2,1.37,123.5
Delhi,2018-05-15,164,90.2,177.12,136.12,186.96,1.72,155.8
Delhi,2018-05-16,190,104.5,205.2,157.7,216.6,2.0,180.5
Delhi,2018-05-17,243,133.65,262.44,201.69,277.02,2.55,230.85
Delhi,2018-05-18,225,123.75,243.0,186.75,256.5,2.36,213.75
Delhi,2018-05-19,242,133.1,261.36,200.86,275.88,2.54,229.9
Delhi,2018-05-20,199,109.45,214.92,165.17,226.86,2.09,189.05
Delhi,2018-05-21,183,100.65,197.64,151.89,208.62,1.92,173.85
Delhi,2018-05-22,212,116.6,228.96,175.96,241.68,2.23,201.4
Delhi,2018-05-23,301,165.55,325.08,249.83,343.14,3.16,285.95
Delhi,2018-05-24,252,138.6,272.16,209.16,287.28,2.65,239.4
Delhi,2018-05-25,251,138.05,271.08,208.33,286.14,2.64,238.45
Delhi,2018-05-26,235,129.25,253.8,195.05,267.9,2.47,223.25
Delhi,2018-05-27,277,152.35,299.16,229.91,315.78,2.91,263.15
Delhi,2018-05-28,275,151.25,297.0,228.25,313.5,2.89,261.25
Delhi,2018-05-29,285,156.75,307.8,236.55,324.9,2.99,270.75
Delhi,2018-05-30,281,154.55,303.48,233.23,320.34,2.95,266.95
Delhi,2018-05-31,208,114.4,224.64,172.64,237.12,2.18,197.6
Delhi,2018-06-01,198,108.9,213.84,164.34,225.72,2.08,188.1
Delhi,2018-06-02,173,95.15,186.84,143.59,197.22,1.82,164.35
Delhi,2018-06-03,174,95.7,187.92,144.42,198.36,1.83,165.3
Delhi,2018-06-04,183,100.65,197.64,151.89,208.62,1.92,173.85
Delhi,2018-06-05,169,92.95,182.52,140.27,192.66,1.77,160.55
Delhi,2018-06-06,136,74.8,146.88,112.88,155.04,1.43,129.2
Delhi,2018-06-07,164,90.2,177.12,136.12,186.96,1.72,155.8
Delhi,2018-06-08,179,98.45,193.32,148.57,204.06,1.88,170.05
Delhi,2018-06-09,127,69.85,137.16,105.41,144.78,1.33,120.65
Delhi,2018-06-10,158,86.9,170.64,131.14,180.12,1.66,150.1
Delhi,2018-06-11,183,100.65,197.64,151.89,208.62,1.92,173.85
Delhi,2018-06-12,296,162.8,319.68,245.68,337.44,3.11,281.2
Delhi,2018-06-13,445,244.75,480.6,369.35,507.3,4.67,422.75
Delhi,2018-06-14,431,237.05,465.48,357.73,491.34,4.53,409.45
Delhi,2018-06-15,447,245.85,482.76,371.01,509.58,4.69,424.65
Delhi,2018-06-16,369,202.95,398.52,306.27,420.66,3.87,350.55
Delhi,2018-06-17,289,158.95,312.12,239.87,329.46,3.03,274.55
Delhi,2018-06-18,171,94.05,184.68,141.93,194.94,1.8,162.45
Delhi,2018-06-19,121,66.55,130.68,100.43,137.94,1.27,114.95
Delhi,2018-06-20,177,97.35,191.16,146.91,201.78,1.86,168.15
Delhi,2018-06-21,226,124.3,244.08,187.58,257.64,2.37,214.7
Delhi,2018-06-22,236,129.8,254.88,195.88,269.04,2.48,224.2
Delhi,2018-06-23,218,119.9,235.44,180.94,248.52,2.29,207.1
Delhi,2018-06-24,183,100.65,197.64,151.89,208.62,1.92,173.85
Delhi,2018-06-25,192,105.6,207.36,159.36,218.88,2.02,182.4
Delhi,2018-06-26,110,60.5,118.8,91.3,125.4,1.16,104.5
Delhi,2018-06-27,93,51.15,100.44,77.19,106.02,0.98,88.35
Delhi,2018-06-28,76,41.8,82.08,63.08,86.64,0.8,72.2
Delhi,2018-06-29,72,39.6,77.76,59.76,82.08,0.76,68.4
Delhi,2018-06-30,96,52.8,103.68,79.68,109.44,1.01,91.2
Delhi,2018-07-01,92,50.6,99.36,76.36,104.88,0.97,87.4
Delhi,2018-07-02,106,58.3,114.48,87.98,120.84,1.11,100.7
Delhi,2018-07-03,114,62.7,123.12,94.62,129.96,1.2,108.3
Delhi,2018-07-04,137,75.35,147.96,113.71,156.18,1.44,130.15
Delhi,2018-07-05,123,67.65,132.84,102.09,140.22,1.29,116.85
Delhi,2018-07-06,147,80.85,158.76,122.01,167.58,1.54,139.65
Delhi,2018-07-07,151,83.05,163.08,125.33,172.14,1.59,143.45
Delhi,2018-07-08,182,100.1,196.56,151.06,207.48,1.91,172.9
Delhi,2018-07-09,157,86.35,169.56,130.31,178.98,1.65,149.15
Delhi,2018-07-10,134,73.7,144.72,111.22,152.76,1.41,127.3
Delhi,2018-07-11,106,58.3,114.48,87.98,120.84,1.11,100.7
Delhi,2018-07-12,143,78.65,154.44,118.69,163.02,1.5,135.85
Delhi,2018-07-13,99,54.45,106.92,82.17,112.86,1.04,94.05
Delhi,2018-07-14,76,41.8,82.08,63.08,86.64,0.8,72.2
Delhi,2018-07-15,76,41.8,82.08,63.08,86.64,0.8,72.2
Delhi,2018-07-16,87,47.85,93.96,72.21,99.18,0.91,82.65
Delhi,2018-07-17,91,50.05,98.28,75.53,103.74,0.96,86.45
